
Gurobi 7.0.2 (linux64, Java) logging started Mon 20 May 2019 10:31:28 PM -03

Optimize a model with 40 rows, 40 columns and 120 nonzeros
Model has 792 quadratic objective terms
Variable types: 0 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [0e+00, 0e+00]
  QObjective range [2e+00, 2e+01]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+00, 2e+00]
Found heuristic solution: objective -0
Modified 40 Q diagonals
Presolve time: 0.00s
Presolved: 40 rows, 40 columns, 120 nonzeros
Presolved model has 794 quadratic objective terms
Variable types: 0 continuous, 40 integer (40 binary)

Root relaxation: objective 1.034642e+03, 41 iterations, 0.00 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1034.64173    0   40   -0.00000 1034.64173      -     -    0s
H    0     0                      30.0000000 1034.64173  3349%     -    0s
H    0     0                     236.0000000 1034.64173   338%     -    0s
H    0     0                     312.0000000 1034.64173   232%     -    0s
     0     2 1034.64173    0   40  312.00000 1034.64173   232%     -    0s
H   31    34                     319.0000000  954.23552   199%   3.0    0s
H   33    35                     341.0000000  954.23552   180%   3.0    0s
H   35    37                     366.0000000  954.23552   161%   3.0    0s
 3225589 305090  403.47932   50   18  366.00000  426.76404  16.6%   2.4  740s
 3241285 302392  426.31240   50   20  366.00000  426.31240  16.5%   2.4  745s
 3256487 299748  409.66011   53   12  366.00000  425.88360  16.4%   2.4  750s
 3273717 296720  423.72594   52   16  366.00000  425.39009  16.2%   2.4  755s
 3289344 294005  424.94161   50   17  366.00000  424.94161  16.1%   2.4  760s
 3305219 290979  424.47936   48   18  366.00000  424.47936  16.0%   2.4  765s
 3322700 287740  401.84425   47   16  366.00000  423.96931  15.8%   2.4  770s
 3338849 284746  423.50005   49   16  366.00000  423.50005  15.7%   2.4  775s
 3356666 281309  422.74865   50   18  366.00000  422.99110  15.6%   2.4  780s
 3371433 278418  422.55984   50   13  366.00000  422.55984  15.5%   2.4  785s
 3387867 275200  422.06749   50   16  366.00000  422.06749  15.3%   2.4  790s
 3404858 271784  401.13882   53   16  366.00000  421.56223  15.2%   2.4  795s
 3421078 268432  418.73709   51   18  366.00000  421.05958  15.0%   2.4  800s
 3438880 264782  420.51811   49   16  366.00000  420.51811  14.9%   2.4  805s
 3454629 261471  420.03258   50   17  366.00000  420.03258  14.8%   2.4  810s
 3472857 257530  419.46881   52   15  366.00000  419.46881  14.6%   2.4  815s
 3490710 253666  414.85033   51   15  366.00000  418.88079  14.4%   2.4  820s
 3506044 250270  418.39340   50   14  366.00000  418.39340  14.3%   2.4  825s
 3522954 246484  417.85523   47   19  366.00000  417.85523  14.2%   2.4  830s
 3536536 243415  417.41056   52   17  366.00000  417.41056  14.0%   2.4  835s
 3553026 239600  416.87463   50   17  366.00000  416.87463  13.9%   2.4  840s
 3569064 235784  415.09499   51   15  366.00000  416.32399  13.7%   2.4  845s
 3583216 232372  407.54743   51   16  366.00000  415.83564  13.6%   2.4  850s
 3599947 228293  415.24425   50   15  366.00000  415.24425  13.5%   2.4  855s
